Summary,Issue Type,Epic Link,Priority,Labels,Description,Phase
EPIC 1: Enterprise Architecture,Epic,,Highest,epic,"Multi-Tenant Architecture, Organization, Hospital, Department, Branch Management",
Multi-Tenant Database Schema,Task,EPIC 1: Enterprise Architecture,Highest,enterprise,"Separate data per hospital/organization via tenant_id",5
Tenant Isolation Middleware,Task,EPIC 1: Enterprise Architecture,Highest,enterprise,"Automatically scope all queries to current tenant",4
Organization CRUD API,Task,EPIC 1: Enterprise Architecture,Highest,enterprise,Create/read/update/delete organizations,4
Hospital CRUD API,Task,EPIC 1: Enterprise Architecture,Highest,enterprise,"Hospitals belong to organizations, scoped by tenant",4
Department CRUD API,Task,EPIC 1: Enterprise Architecture,High,enterprise,Departments within hospitals,4
Branch CRUD API,Task,EPIC 1: Enterprise Architecture,High,enterprise,Branches within hospitals,4
Super Admin Panel,Task,EPIC 1: Enterprise Architecture,High,admin,"Manage tenants, hospitals, branches from Flutter Web",3
EPIC 2: Identity & Security,Epic,,Highest,epic,"RBAC, Permissions, Audit, Sessions, Refresh Tokens, MFA",
RBAC Role Definitions,Task,EPIC 2: Identity & Security,Highest,security,"Roles: Super Admin, Hospital Admin, Doctor, Nurse, Paramedic",6
Permission Matrix Design,Task,EPIC 2: Identity & Security,Highest,security,"Define all permissions per resource + action",6
Fine-Grained Permission Enforcement,Task,EPIC 2: Identity & Security,Highest,security,Middleware checks permissions per endpoint,6
Audit Log System,Task,EPIC 2: Identity & Security,Highest,security,"Log all state-changing operations to audit_log table",6
Session Management API,Task,EPIC 2: Identity & Security,Highest,security,"List active sessions, revoke by ID",6
Refresh Token Rotation,Task,EPIC 2: Identity & Security,Highest,security,"Rotate refresh tokens on each use, 30-day expiry",6
MFA Architecture (Future),Task,EPIC 2: Identity & Security,Lowest,security,"Design for future TOTP/WebAuthn, NOT implemented yet",
Login Screen (Flutter),Task,EPIC 2: Identity & Security,Highest,mobile,"Email/password login with validation",2
Register Screen (Flutter),Task,EPIC 2: Identity & Security,Highest,mobile,"Self-registration with role selection",2
Role-Based UI Navigation,Task,EPIC 2: Identity & Security,Highest,mobile,"Show/hide screens based on user role",2
EPIC 3: API & Integration,Epic,,High,epic,"API Versioning, OpenAPI, WebSocket, MQTT, FHIR, HL7",
